[29] 2026-08-09 13:18:48 | Night: False | Behavior: None | Category: 제외 (비대상 동물) | File: 0411_V20260813_131848000_4EBC7E43-5AE4-47B4-B89E-0E3E22FA8E04.mp4
[30] 2026-08-08 04:10:00 | Night: True | Behavior: None | Category: 제외 (비대상 동물) | File: 0404_V20260813_131810000_1E3CF046-0C03-438B-974F-51B75F14E74A.mp4
[31] 2026-08-07 13:17:27 | Night: False | Behavior: None | Category: 멧돼지확정 | File: 0359_V20260813_131727000_42670D23-9899-4301-8BF5-4330BA35A1C7.mp4
[32] 2026-08-07 13:17:26 | Night: False | Behavior: None | Category: 멧돼지확정 | File: 0357_V20260813_131726000_0E48FC1C-A823-48B6-B7FC-3705EE4ADC47.mp4
[33] 2026-08-07 13:17:26 | Night: False | Behavior: None | Category: 멧돼지확정 | File: 0358_V20260813_131726000_DC44769D-9D4D-46E7-832C-AE6956946DA9.mp4
[34] 2026-08-06 13:16:55 | Night: False | Behavior: None | Category: 멧돼지확정 | File: 0333_V20260813_131655000_5EF6D462-0BA8-42D7-BF57-986A16FE7ADF.mp4
[35] 2026-07-28 25:35:55 | Night: True | Behavior: None | Category: 멧돼지확정 | File: 0121_V20260813_131114000_317018ED-BA8C-479C-AD4C-C95F1C9F5FDC.mp4
[36] 2026-07-28 24:45:45 | Night: True | Behavior: None | Category: 멧돼지확정 | File: 0119_V20260813_131113000_7C117683-66A6-4D62-A4F6-A2ADE242794A.mp4
[37] 2026-07-28 25:10:50 | Night: True | Behavior: None | Category: 멧돼지확정 | File: 0120_V20260813_131113000_D67D17CA-D6A4-42D6-9DC0-D22634001560.mp4
[38] 2026-07-28 23:30:30 | Night: True | Behavior: None | Category: 멧돼지확정 | File: 0116_V20260813_131112000_1378D7A0-CE42-4E09-856A-FC0917A2CC51.mp4
[39] 2026-07-28 23:55:35 | Night: True | Behavior: None | Category: 멧돼지확정 | File: 0117_V20260813_131112000_73C89671-A765-4465-96B5-CE9B81CCDE06.mp4
[40] 2026-07-28 24:20:40 | Night: True | Behavior: None | Category: 멧돼지확정 | File: 0118_V20260813_131112000_F45C030F-5230-4E63-B1E8-80D462615CF7.mp4
[41] 2026-07-28 22:40:20 | Night: True | Behavior: None | Category: 멧돼지확정 | File: 0114_V20260813_131111000_7C789644-AEA2-492F-B507-C671A56A4BF1.mp4
[42] 2026-07-28 23:05:25 | Night: True | Behavior: None | Category: 멧돼지확정 | File: 0115_V20260813_131111000_E31D4A3B-F1C6-4508-A721-870C317A2450.mp4
[43] 2026-07-28 21:50:10 | Night: True | Behavior: None | Category: 멧돼지확정 | File: 0112_V20260813_131110000_7F7D8091-B488-468B-9E09-23B69AFB269A.mp4
[44] 2026-07-28 22:15:15 | Night: True | Behavior: None | Category: 멧돼지확정 | File: 0113_V20260813_131110000_C96EC919-2C28-4C1D-828C-80FFC7A2B945.mp4
[45] 2026-07-28 21:25:05 | Night: True | Behavior: None | Category: 멧돼지확정 | File: 0111_V20260813_131109000_AFCBD321-D1A7-4D95-8F54-B6619DD17E14.mp4
