=== 1. GONGJU 3 (san135) & GYEONGSAN 4 (cam-dg-1) VIDEO AUDIT ===
[04] cam-dg-1 | 2026-08-19 03:52:28 | fn:0035_20260819_035228_000_20_P.mp | JSON_Night:True | Actual_Night:True (diff_rg=0.1, bright=72.9) | Mismatch:False
[05] cam-dg-1 | 2026-08-14 18:48:37 | fn:0034_V20260818_153112000_680926A | JSON_Night:False | Actual_Night:False (diff_rg=5.5, bright=120.3) | Mismatch:False
[06] cam-dg-1 | 2026-07-25 19:39:02 | fn:0021_V20260818_153001000_C8BC22F | JSON_Night:True | Actual_Night:True (diff_rg=0.5, bright=113.4) | Mismatch:False
[07] cam-gj-san135 | 2026-08-09 02:45:30 | fn:0623_V20260813_133353000_00621EF | JSON_Night:True | Actual_Night:True (diff_rg=0.2, bright=87.5) | Mismatch:False
[08] cam-gj-san135 | 2026-08-09 03:15:40 | fn:0622_V20260813_133352000_56BDC66 | JSON_Night:True | Actual_Night:True (diff_rg=0.1, bright=89.4) | Mismatch:False
[09] cam-gj-san135 | 2026-08-09 02:45:30 | fn:0621_V20260813_133351000_2925474 | JSON_Night:True | Actual_Night:True (diff_rg=0.1, bright=89.6) | Mismatch:False
[10] cam-gj-san135 | 2026-08-09 15:30:10 | fn:0620_V20260813_133350000_8CB2CA1 | JSON_Night:False | Actual_Night:False (diff_rg=16.7, bright=110.9) | Mismatch:False
[11] cam-gj-san135 | 2026-08-09 02:10:15 | fn:0619_V20260813_133349000_A79DB18 | JSON_Night:True | Actual_Night:True (diff_rg=0.1, bright=90.2) | Mismatch:False
[12] cam-gj-san135 | 2026-08-07 02:40:15 | fn:0615_V20260813_133255000_A25799B | JSON_Night:True | Actual_Night:True (diff_rg=0.4, bright=93.8) | Mismatch:False
[13] cam-gj-san135 | 2026-08-07 16:20:30 | fn:0613_V20260813_133253000_4A0B9F8 | JSON_Night:False | Actual_Night:False (diff_rg=12.9, bright=124.4) | Mismatch:False
[14] cam-gj-san135 | 2026-08-06 03:10:00 | fn:0600_V20260813_133232000_2147885 | JSON_Night:True | Actual_Night:True (diff_rg=0.3, bright=97.1) | Mismatch:False
[15] cam-gj-san135 | 2026-08-05 03:40:12 | fn:0599_V20260813_133215000_77C796D | JSON_Night:True | Actual_Night:True (diff_rg=1.1, bright=89.6) | Mismatch:False
[16] cam-gj-san135 | 2026-08-05 02:15:30 | fn:0597_V20260813_133214000_577C940 | JSON_Night:True | Actual_Night:True (diff_rg=0.2, bright=87.1) | Mismatch:False
[17] cam-gj-san135 | 2026-08-05 17:45:10 | fn:0595_V20260813_133213000_88C0DE3 | JSON_Night:False | Actual_Night:False (diff_rg=15.6, bright=119.9) | Mismatch:False
[18] cam-gj-san135 | 2026-08-04 13:31:44 | fn:0578_V20260813_133144000_88EB7EC | JSON_Night:False | Actual_Night:False (diff_rg=25.1, bright=122.6) | Mismatch:False
[19] cam-gj-san135 | 2026-08-04 13:31:32 | fn:0564_V20260813_133132000_F2CCABF | JSON_Night:False | Actual_Night:False (diff_rg=16.6, bright=120.2) | Mismatch:False
[20] cam-gj-san135 | 2026-08-04 13:31:31 | fn:0562_V20260813_133131000_5E81B8D | JSON_Night:False | Actual_Night:False (diff_rg=16.6, bright=112.2) | Mismatch:False
[21] cam-gj-san135 | 2026-07-30 03:45:12 | fn:0529_V20260813_132953000_06CF151 | JSON_Night:True | Actual_Night:True (diff_rg=0.5, bright=86.7) | Mismatch:False
[22] cam-gj-san135 | 2026-07-30 04:12:55 | fn:0530_V20260813_132953000_FE222A6 | JSON_Night:True | Actual_Night:True (diff_rg=0.9, bright=85.2) | Mismatch:False
[23] cam-gj-san135 | 2026-07-30 02:18:40 | fn:0518_V20260813_132946000_23D48C3 | JSON_Night:True | Actual_Night:True (diff_rg=1.1, bright=86.4) | Mismatch:False
[24] cam-gj-san135 | 2026-07-30 01:42:05 | fn:0516_V20260813_132944000_3E124AE | JSON_Night:True | Actual_Night:True (diff_rg=0.9, bright=86.6) | Mismatch:False
[25] cam-gj-san135 | 2026-07-30 01:15:22 | fn:0514_V20260813_132942000_625F757 | JSON_Night:True | Actual_Night:True (diff_rg=0.8, bright=86.2) | Mismatch:False
[26] cam-gj-san135 | 2026-07-28 01:45:20 | fn:0495_V20260813_132841000_C8EC021 | JSON_Night:True | Actual_Night:True (diff_rg=0.9, bright=89.2) | Mismatch:False
[27] cam-gj-san135 | 2026-07-28 22:15:10 | fn:0491_V20260813_132839000_0C65E65 | JSON_Night:True | Actual_Night:True (diff_rg=1.4, bright=87.4) | Mismatch:False
[28] cam-gj-san135 | 2026-07-28 22:18:35 | fn:0492_V20260813_132839000_5A1508E | JSON_Night:True | Actual_Night:True (diff_rg=0.4, bright=87.8) | Mismatch:False
[48] cam-gj-san135 | 2026-08-04 19:18:23 | fn:0561_V20260804_191823000_86045B1 | JSON_Night:False | Actual_Night:False (diff_rg=15.3, bright=118.6) | Mismatch:False
[49] cam-gj-san135 | 2026-08-04 04:59:13 | fn:0560_V20260804_045913000_9DCA3BF | JSON_Night:True | Actual_Night:True (diff_rg=0.3, bright=92.9) | Mismatch:False
[50] cam-gj-san135 | 2026-07-06 21:29:42 | fn:0444_V20260706_212942000_FDCE665 | JSON_Night:True | Actual_Night:True (diff_rg=0.2, bright=80.2) | Mismatch:False
