Total analyzed: 52, Mismatches: 31
cam-gj-san135 | 2026-08-09 13:33:53 | 0623_V20260813_133353000_00621 | JSON_Night:False -> Actual_Night:True
cam-gj-san135 | 2026-08-09 13:33:52 | 0622_V20260813_133352000_56BDC | JSON_Night:False -> Actual_Night:True
cam-gj-san135 | 2026-08-09 13:33:51 | 0621_V20260813_133351000_29254 | JSON_Night:False -> Actual_Night:True
cam-gj-san135 | 2026-08-09 13:33:49 | 0619_V20260813_133349000_A79DB | JSON_Night:False -> Actual_Night:True
cam-gj-san135 | 2026-08-07 13:32:55 | 0615_V20260813_133255000_A2579 | JSON_Night:False -> Actual_Night:True
cam-gj-san135 | 2026-08-06 13:32:32 | 0600_V20260813_133232000_21478 | JSON_Night:False -> Actual_Night:True
cam-gj-san135 | 2026-08-05 13:32:15 | 0599_V20260813_133215000_77C79 | JSON_Night:False -> Actual_Night:True
cam-gj-san135 | 2026-08-05 13:32:14 | 0597_V20260813_133214000_577C9 | JSON_Night:False -> Actual_Night:True
cam-gj-san135 | 2026-07-30 13:29:53 | 0529_V20260813_132953000_06CF1 | JSON_Night:False -> Actual_Night:True
cam-gj-san135 | 2026-07-30 13:29:53 | 0530_V20260813_132953000_FE222 | JSON_Night:False -> Actual_Night:True
cam-gj-san135 | 2026-07-30 13:29:46 | 0518_V20260813_132946000_23D48 | JSON_Night:False -> Actual_Night:True
cam-gj-san135 | 2026-07-30 13:29:44 | 0516_V20260813_132944000_3E124 | JSON_Night:False -> Actual_Night:True
cam-gj-san135 | 2026-07-30 13:29:42 | 0514_V20260813_132942000_625F7 | JSON_Night:False -> Actual_Night:True
cam-gj-san135 | 2026-07-28 13:28:41 | 0495_V20260813_132841000_C8EC0 | JSON_Night:False -> Actual_Night:True
cam-gj-san135 | 2026-07-28 13:28:39 | 0491_V20260813_132839000_0C65E | JSON_Night:False -> Actual_Night:True
cam-gj-san135 | 2026-07-28 13:28:39 | 0492_V20260813_132839000_5A150 | JSON_Night:False -> Actual_Night:True
cam-gj-59-3 | 2026-08-08 13:18:10 | 0404_V20260813_131810000_1E3CF | JSON_Night:False -> Actual_Night:True
cam-gj-59-3 | 2026-07-28 13:11:14 | 0121_V20260813_131114000_31701 | JSON_Night:False -> Actual_Night:True
cam-gj-59-3 | 2026-07-28 13:11:13 | 0119_V20260813_131113000_7C117 | JSON_Night:False -> Actual_Night:True
cam-gj-59-3 | 2026-07-28 13:11:13 | 0120_V20260813_131113000_D67D1 | JSON_Night:False -> Actual_Night:True
cam-gj-59-3 | 2026-07-28 13:11:12 | 0116_V20260813_131112000_1378D | JSON_Night:False -> Actual_Night:True
cam-gj-59-3 | 2026-07-28 13:11:12 | 0117_V20260813_131112000_73C89 | JSON_Night:False -> Actual_Night:True
cam-gj-59-3 | 2026-07-28 13:11:12 | 0118_V20260813_131112000_F45C0 | JSON_Night:False -> Actual_Night:True
cam-gj-59-3 | 2026-07-28 13:11:11 | 0114_V20260813_131111000_7C789 | JSON_Night:False -> Actual_Night:True
cam-gj-59-3 | 2026-07-28 13:11:11 | 0115_V20260813_131111000_E31D4 | JSON_Night:False -> Actual_Night:True
cam-gj-59-3 | 2026-07-28 13:11:10 | 0112_V20260813_131110000_7F7D8 | JSON_Night:False -> Actual_Night:True
cam-gj-59-3 | 2026-07-28 13:11:10 | 0113_V20260813_131110000_C96EC | JSON_Night:False -> Actual_Night:True
cam-gj-59-3 | 2026-07-28 13:11:09 | 0111_V20260813_131109000_AFCBD | JSON_Night:False -> Actual_Night:True
cam-gj-142-5 | 2026-07-29 12:55:44 | 0024_V20260813_125544000_A3D0C | JSON_Night:False -> Actual_Night:True
cam-gj-142-5 | 2026-08-05 18:48:37 | 0034_V20260805_211252000_2E678 | JSON_Night:False -> Actual_Night:True
cam-gj-san135 | 2026-08-04 19:18:23 | 0561_V20260804_191823000_86045 | JSON_Night:True -> Actual_Night:False
